정점1,정점2,거리(m)
A,B,11.2
B,C,5.6
B,D,4.4
D,E,11.96
E,F,4.4
E,G,8.28
G,H,5.4
H,I,5.4
I,A,14.72
J,K,9.3
K,L,7.36
L,M,6.8
L,N,8.28
N,O,9.68
O,Q,6
Q,R,3.68
O,P,6.3
R,N,13.7
R,S,15.84
S,J,6.4
T,U,2.5
U,V,5.6
V,W,4.2
W,X,4.1
X,Y,5.7
Y,Z,5.7
Z,X,5.6
Z,A1,1.8
A1,B1,5.2
B1,F1,2.7
A1,F1,5.7
B1,C1,3.7
C1,D1,3.8
D1,E1,3.7
E1,B1,3.8
B1,G1,9.3
E1,G1,9.7
F1,G1,6.7
A1,U,6.5
G1,T,6.9
H1,T,26.4
H1,S1,28.8
H1,J,24.5
H1,A,16
A,J,18.3
J,S1,19.1
S1,T,18.2
H1,I2,5.7
H1,I1,18
I1,J1,9
K1,J1,12
K1,L1,9
L1,M1,10.15
L1,N1,26.4
N1,O1,13.9
O1,P1,42
P1,Q1,29.5
P1,R1,41.3
Q1,R1,16.3
Q1,O1,48.9
R1,O1,42.4
S1,T1,1.6
T1,U1,1.7
U1,V1,5.6
V1,W1,2.3
W1,X1,3.1
X1,Y1,1.7
X1,Z1,4.6
Z1,A2,2.1
Z1,B2,4.1
B2,C2,1
C2,D2,4.4
B2,F2,1.6
F2,E2,4.4
E2,D2,2.7
E2,G2,3.2
G2,T1,3.5
V1,H2,4
H2,J2,6.44
J2,L2,8.44
L2,M2,15.64
M2,N2,4.86
N2,P2,4.86
N2,O2,6.44
P2,Q2,15.64
Q2,R2,10
R2,S2,3
R2,S1,3.8
