정점 번호,특이사항
A,제1전시실 입구
B,"청동기 생활, 토기, 석기, 돌칼과 돌검"
C,"독널, 송국리식토기"
D,"다양한 석기, 석기 도구들, 간돌검, 돌도끼, 돌칼"
E,"청동거울, 숫돌, 청동도끼, 곱은옥, 투겁창, 가지방울"
F,"대쪽모양동기, 간돌화살촉, 뚜껑, 나팔모양동기"
G,"한국식 동검, 이형동기, 유리대롱옥, 말 모양 허리띠고리"
H,"철기문화, 두귀단지, 쇠낫, 손칼, 금동귀걸이"
I,"가락바퀴, 토기손잡이"
J,제2전시실 입구
K,"전돌, 기와, 무기, 토기"
L,요강
M,"기와, 전돌, 인물상, 기와 표석, 기와 장신구"
N,"금동광배, 토기, 도량형, 장신구, 구슬, 공방터, 보살, 조각상, 목탑 유물"
O,석소사리감
P,백제 금동대향로
Q,"시루, 공예품, 목제품"
R,토기
S,"사택지적비, 목간"
T,제4전시실 입구
U,기증자 명단
V,박만식 교수 안내
W,"굽다리접시, 작은단지, 짧은목단지, 그릇받침"
X,"곧은목단지, 짧은목단지"
Y,"굽다리접시, 그릇받침, 이중단지, 세발토기, 뚜껑접시"
Z,"이형토기, 뚜껑바리"
A1,"뚜껑접시, 세발토기, 장군, 두귀큰항아리, 짧은목단지"
B1,"백자 항아리, 백자 두 귀 달린 잔"
C1,백자 무늬
D1,"백자 모란 무늬 합, 백자 항아리"
E1,백자 관련 책자
G1,"뚜껑바리, 바리, 방울잔, 손잡이단지, 접시, 큰칼, 고리자루큰칼, 자라병, 손잡이잔, 금동보살상"
H1,본관 입구
I1,야외 전시장
J1,석조여래입상
K1,동사리석탑
L1,비석받침
M1,"비석머리, 비석받침"
N1,연꽃무늬 석등받침
O1,동남리석탑
P1,"박물관 입구, 석조 옥외전시장"
Q1,당유인원기공비
R1,보광사지 대보광선사비
S1,제3전시실 입구
T1,특별관 입구
G2,"부여분관 백제관 현판, 박물관 연혁, 박물관 연표"
E2,"일제강점기, 근대박물관 설립, 부여 포스터, 사적, 명승구적, 백제의 옛 도읍 부여회 엽서, 박물관진열품도감"
F2,"부여분관 설립, 박물관신문, 초대국립박물관장회고 경복궁야화, 진열품약설명서, 국립박물관내규집, 국립박물관개람, 녹청자 병, 토기 병, 분청사기 물고기무늬 병, 홍사준, 와당 탁본집, 홍사준 관장 유품, 홍사준 관장 친필 액자, 마애여래삼존상 발견사진"
B2,터치패드
C2,"요령식 동검, 청동도끼 거푸집, 연꽃무늬 수막새, 치미 편, 상자형전돌 편, 가마터 발굴보고서"
D2,"어린이그리기대회 상장, 어린이그리기대회 메달, 특별전 도록, 부소산 진열장, 부여박물관진열품도감, 상설전시 리플렛"
A2,"금성산 신관 개관, 백제금동대향로 발견, 발굴, 보존, 능산리사지 조사일지, 백제금동대향로 국보지정서, 전시"
Z1,"특별전, 산수문전, 뚜껑있는 바리, 뚜껑있는 뼈 항아리, 접시, 전시, 국제교류, 국제, 교류"
Y1,"내 삶 속의 박물관, 박물관과 나, 인연"
X1,"과거와의 대화, 향로를 보다, 박물관은 놀이터, 박물관 사람들, 추억의 사진관"
W1,포토부스
V1,대향로관 개관
U1,"숫자로 보는 국립부여박물관, 국보 개수, 관람객, 나이"
H2,상설관 입구
I2,부여석조
J2,"금동보살입상, 금동관읍입상, 금동삼존입상, 금동광배, 남부반가사유"
L2,"기와, 진흙상, 절터"
M2,"기와, 인물상"
N2,"외리, 문양전"
O2,"수막새, 벽돌, 청동소탑편"
P2,"벽돌, 기와, 치미"
Q2,사찰벽화
R2,사리장엄구
S2,"사리기, 사리공양구"
